Wavelength / nm	385 nm 0,1 A	405nm, 36mA	415 nm, 25 mA	450 nm, 30 mA
230.0	-0.00038422445582523987	-0.0003420560898303164	0.00020943152370954106	-3.367711574554499e-05
231.0	-0.0002781637753674041	-0.000382467293980589	0.00016348209849749662	-0.0003627506467449412
232.0	-7.598560324467325e-05	-1.5657902462795048e-05	0.00016922577664899707	-0.0001479868686190153
233.0	-0.000675891327084267	-7.161187744008746e-05	4.286485731587281e-05	-5.09967752718233e-05
234.0	-0.00019861826502403908	-0.00018041127322926124	-6.626502756273377e-05	-7.870823051388238e-05
235.0	-0.00039416764461815227	-0.0003202962106724834	0.0001720976157247473	-0.00026229662149249546
236.0	0.0001692797203140584	-3.7417781620628034e-05	-0.00021560065950188435	-0.000248440893871461
237.0	-0.0005864026279479707	-0.00037625018564977584	-2.605928050219794e-05	-8.910002622965331e-05
238.0	6.984783238484032e-05	-0.00023014813987574042	-0.0001150862918505366	-0.00015491473242953255
239.0	-6.935681071605557e-05	-0.00014621717740980183	-0.00036493629144102675	-0.0002172655067241581
240.0	-0.0001853606799668037	-0.00015865139407142824	-0.00043960410741060614	-0.00028654414482929104
241.0	-0.000513485910133214	-0.00017419416489844802	-0.000264421923789679	0.00016376700285410258
242.0	-0.00023176222766710863	0.00017707245579231734	-0.0010484339914702094	-0.0002726884172082664
243.0	-0.00024170541646003043	-5.296055244765665e-05	-0.0003390897397592502	-0.0003142556000713501
244.0	-3.289845180868189e-05	-0.00011513163575575343	-0.00035057709606226744	-7.524429860861884e-05
245.0	-0.0003610236819750827	-0.000314079102341679	-0.0002730374410169379	-0.00017916225576632808
246.0	-8.26143957732815e-05	-0.00014621717740980183	-0.0002500627284109197	-0.00028308021292403735
247.0	7.979102117776212e-05	6.101976695037942e-06	-0.00038791100404705306	-0.0001479868686190153
248.0	2.344628468454483e-05	-6.332239966579647e-06	4.8608535467381426e-05	1.4817930928055941e-05
249.0	-0.0002450198127243346	-4.0526335786030225e-05	-0.00022421617672914318	2.8673658549080558e-05
250.0	0.00018253730537128433	-0.0003482731981611296	-0.00012370180907778728	-0.00016530652814530347
251.0	-0.00013895913226650823	-0.00011202308159035124	-0.00025867824563817856	9.622033070313232e-07
252.0	-0.00020524705755264734	-0.0002736678981914064	-3.0845678961716352e-06	-0.0001479868686190153
253.0	-0.00019861826502403908	-3.1200673289814824e-05	-0.00014954836075956382	0.00010488016046473072
254.0	-0.00019530386875972553	7.138161416854575e-05	-0.00010647077462327776	-7.524429860861884e-05
