Wavelength / nm	Responsivity S120VC
520.0	0.0304
521.0	0.03044
522.0	0.03048
523.0	0.03052
524.0	0.03056
525.0	0.0306
526.0	0.03064
527.0	0.03068
528.0	0.03072
529.0	0.03076
530.0	0.0308
531.0	0.03084
532.0	0.03088
533.0	0.03092
534.0	0.03096
535.0	0.031
536.0	0.031039999999999998
537.0	0.03108
538.0	0.03112
539.0	0.03116
540.0	0.0312
541.0	0.031219999999999998
542.0	0.03124
543.0	0.03126
544.0	0.03128
545.0	0.0313
546.0	0.03134
547.0	0.03138
548.0	0.031420000000000003
549.0	0.03146
550.0	0.0315
551.0	0.03152
552.0	0.03154
553.0	0.031560000000000005
554.0	0.031580000000000004
555.0	0.0316
556.0	0.03164
557.0	0.03168
558.0	0.031720000000000005
559.0	0.031760000000000004
560.0	0.0318
561.0	0.03182
562.0	0.03184
563.0	0.03186
564.0	0.03188
565.0	0.0319
566.0	0.031939999999999996
567.0	0.031979999999999995
568.0	0.03202
569.0	0.03206
570.0	0.0321
571.0	0.032119999999999996
572.0	0.032139999999999995
573.0	0.03216
574.0	0.03218
575.0	0.0322
576.0	0.03222
577.0	0.03224
578.0	0.032260000000000004
579.0	0.03228
580.0	0.0323
581.0	0.03234
582.0	0.03238
583.0	0.032420000000000004
584.0	0.03246
585.0	0.0325
586.0	0.03252
587.0	0.03254
588.0	0.03256
589.0	0.03258
590.0	0.0326
591.0	0.032619999999999996
592.0	0.032639999999999995
593.0	0.03266
594.0	0.03268
595.0	0.0327
596.0	0.03272
597.0	0.03274
598.0	0.032760000000000004
599.0	0.032780000000000004
600.0	0.0328
